,,,,,,,,,,
,QoSポリシ一覧,,,,,,,,,
,,,,,,,,,RV指摘,
,,,,,,,,,,
,EPG マーキング/クラシファイ対応表（Custom QoS）,,,,,,,,,
,ポリシー区分,Custom QoS Policy,クラシファイ設定,マーキング設,,10 進値,備考,,,
,,,※ACI QoSクラス,"DSCP Range
From-To",DSCP Target,,,,,
,本番勘定（リアル）,custom-qos-real-pol,Level1,0 - 0,AF41,34,,,,
,本番勘定（バッチ）,custom-qos-bat-pol,Level1,0 - 0,AF31,26,,,,
,本番情報・本番その他,custom-qos-pinf-pol,Level1,0 - 0,AF11,10,,,,
,本番情報・本番その他,custom-qos-pbak-pol,Level1,0 - 0,AF11,10,本番統合バックアップ用,,,
,本番運用,custom-qos-pope-pol,Level2,0 - 0,CS1,8,,,,
,本番運用,custom-qos-vinf-pol,Level2,0 - 0,CS1,8,仮想インフラテナント用,,,
,本番運用,custom-qos-pnms-pol,Level2,0 - 0,CS1,8,NMSシステム用,,,
,開発,custom-qos-test-pol,Level3,0 - 0,CS0,0,vxlanを除く開発系用,,,
,NSXのVXLAN用,custom-qos-vxlan-pol,Level1,AF41,-,34,NSXのVXLAN用（クラシファイのみ）,,,
,,,Level1,AF31,-,26,"""",,,
,,,Level1,AF11,-,10,"""",,,
,,,Level2,CS1,-,8,"""",,,
,,,Level3,CS0,-,0,"""",,,
,,,,,,,,,,
,,,,,,,,,,
,外部EPG クラシファイ対応表（QoS Class）,,,,,,,,,
,"クラシファイ設定
※ACI QoSクラス",対応する各業務面,,,,,,,,
,Level1,本番業務面勘定系に収容するリアル用のEPG/外部EPG,,,,,,,,
,,本番業務面勘定系に収容するバッチ用のEPG/外部EPG,,,,,,,,
,,本番業務面情報系に収容するEPG/外部EPG,,,,,,,,
,Level2,本番運用面に収容するEPG/外部EPG,,,,,,,,
,Level3,開発業務面勘定・情報系、開発運用面に収容するEPG/外部EPG,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,＜参考：共通ネットワーク設計書より＞,,,,,,,,,
