,,,,,,,,,,,,,,,
,コントラクト一覧（千葉開発）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tenant名,VRF名,コントラクト名,Subject,用途,通信方向,"送信元システム
（サブネット名等）","宛先システム
（サブネット名等）","送信元EPG
（Provided)","宛先EPG
（Consumed)",備考,,,,
,,,,,,,,,,,,,,,
,ch-tacct,vrf-tacc,cont-both-taccdist-vzany,cont-subject,外部EPG接続,双方向許可,tacc-Dist,全システム,exepg-taccdist,vzAny,,,,,
,,,cont-both-taccesg-vzany,cont-subject,外部EPG接続,双方向許可,tacc-ESG,全システム,exepg-taccesg,vzAny,,,,,
,,,cont-both-taccesg2-vzany,cont-subject,外部EPG接続,双方向許可,tacc-ESG2,全システム,exepg-taccesg2,vzAny,,,,,
,,,cont-both-taccesg3-vzany,cont-subject,外部EPG接続,双方向許可,tacc-ESG3,全システム,exepg-taccesg3,vzAny,,,,,
,ch-tinft,vrf-tinf,cont-both-tinfdist-vzany,cont-subject,外部EPG接続,双方向許可,tinf-Dist,全システム,exepg-tinfdist,vzAny,,,,,
,,,cont-both-tinfesg-vzany,cont-subject,外部EPG接続,双方向許可,tinf-ESG,全システム,exepg-tinfesg,vzAny,,,,,
,,,cont-uni-epg-tGOBservice,cont-subject,システム間,片方向のみ許可,FRTB（GOB）サービスセグメント,,epg-tGOBservice,,,,,,
,,,cont-both-tinfasr01-vzany,cont-subject,外部EPG接続,双方向許可,tinf-ASR01,全システム,exepg-tinfasr01,vzAny,,,,,
,,,cont-uni-epg-tRMDS,cont-subject,システム間,片方向のみ許可,RMDSセグメント,,epg-tRMDS,,,,,,
,,,cont-uni-epg-tstorage_m2020,cont-subject,システム間,片方向のみ許可,M'intra2020_サービスセグメント(ストレージ管理）,Mintra2020_SVPセグメント,epg-tstorage_m2020,epg-tSVP_m2020,,,,,
,,,cont-uni-epg-tSVP_m2020,cont-subject,システム間,片方向のみ許可,Mintra2020_SVPセグメント,M'intra2020_サービスセグメント(ストレージ管理）,epg-tSVP_m2020,epg-tstorage_m2020,,,,,
