,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,収容外部EPG一覧（千葉開発）,,,,,,,,,,,,,,,,,,,追加,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant名,テナント名,VRF名,"L3-Out名
(NW名)","外部EPG名
(NW名)",接続先,"ルーティング
方式","ACI内
ルーティング
制御","ACI外
広報経路",Static Route,,OSPF,,機器名,"収容Leaf
(ホスト名）",論理ノード名,"ルータID
/Loopback IP",収容ポート,Path Type,"Path
(PC/vPC)",Logical Node Profile,OSPF,,,,,,,,ポート種別,VLAN ID,"IPアドレス
（ゲートウェイ）","セカンダリIPアドレス
（VIP）",MTU,VLAN Mode,接続先,,QoS区分,QoS,備考
,,,,,,,,,,Prefix,Next-Hop,Area ID,Area type,,,,,,,,Logical Interface,Logical Interface,Priority,Cost,Network-Type,Hello Interval,Dead Interval,Retransmit Interval,Transmit Deley,,,,,,,物理装置名,物理Port名,,クラシファイ,
,ch-tacct,開発業務面勘定系,vrf-tacc,l3out-taccdist,exepg-taccdist,Dist,OSPF,"0.0.0.0/0
※ALL許可","0.0.0.0/0
※ALL許可",-,-,0,Regular,千葉開発 Leaf(Border)#1,nwch-i9318-zlfb1011t,logic-nd-101,10.253.64.238,Eth1/17,Direct Port Channel,pol-pc-101-t1,logic-int-prof-101-17,ospf-int-pol-101-17,-,0(default),Point-to-point,1,4,1,1,SVI,625,10.253.64.114/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:MM),"Gi6-1,2",開発業務面勘定系,Level3,
,,,,,,,,,,,,,,,,,,Eth1/18,Direct Port Channel,pol-pc-101-t2,,,-,0(default),Point-to-point,1,4,1,1,SVI,628,10.253.64.126/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:MM),"Gi6-3,4",,,
,,,,,,,,,,,,,,千葉開発 Leaf(Border)#2,nwch-i9318-zlfb1022t,logic-nd-102,10.253.64.237,Eth1/17,Direct Port Channel,pol-pc-102-t1,logic-int-prof-102-17,ospf-int-pol-102-17,-,0(default),Point-to-point,1,4,1,1,SVI,627,10.253.64.122/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:MM),"Gi6-5,6",,,
,,,,,,,,,,,,,,,,,,Eth1/18,Direct Port Channel,pol-pc-102-t2,,,-,0(default),Point-to-point,1,4,1,1,SVI,626,10.253.64.118/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:MM),"Gi6-7,8",,,
,,,,l3out-taccesg,exepg-taccesg,ESG(NSX),OSPF,0.0.0.0/0,0.0.0.0/0,-,-,310,NSSA,千葉開発 Leaf(VM6)#1,nwch-i9318-zlfs4011t,logic-nd-401,12.41.255.129,Eth1/01,Port,-,logic-int-prof-401-01,ospf-int-pol-401-01,255,0(default),Broadcast,1,4,1,1,SVI,2294,12.27.31.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-1,開発業務面勘定系,Level3,開発管理クラスタ(CL_DC_D61_MG1)、ESG01a(勘定系01)
,,,,,,,,,,,,,,,,,,Eth1/02,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2294,12.27.31.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-2,,,開発管理クラスタ(CL_DC_D61_MG1)、ESG02a(勘定系02)
,,,,,,,,,,,,,,,,,,Eth1/03,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2294,12.27.31.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-3,,,検証管理クラスタ(CL_DC_P61_MG1)、ESG01a(勘定系01)※検証用
,,,,,,,,,,,,,,,,,,Eth1/04,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2294,12.27.31.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-4,,,検証管理クラスタ(CL_DC_P61_MG1)、ESG02a(勘定系02)※検証用
,,,,,,,,,,,,,,,,,,Eth1/17,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2294,12.27.31.225/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM1-1,,,開発管理クラスタ(CL_DC_D61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/18,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2294,12.27.31.225/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM1-2,,,開発管理クラスタ(CL_DC_D61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/19,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2294,12.27.31.225/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM1-3,,,検証管理クラスタ(CL_DC_P61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/20,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2294,12.27.31.225/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM1-4,,,検証管理クラスタ(CL_DC_P61_MG1)
,,,,,,,,,,,,,,千葉開発 Leaf(VM6)#2,nwch-i9318-zlfs4022t,logic-nd-402,12.41.255.130,Eth1/01,Port,-,logic-int-prof-402-01,ospf-int-pol-402-01,255,0(default),Broadcast,1,4,1,1,SVI,2295,12.27.31.241/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM2-1,,,開発管理クラスタ(CL_DC_D61_MG1)、ESG01a(勘定系01)
,,,,,,,,,,,,,,,,,,Eth1/02,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2295,12.27.31.241/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM2-2,,,開発管理クラスタ(CL_DC_D61_MG1)、ESG02a(勘定系02)
,,,,,,,,,,,,,,,,,,Eth1/03,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2295,12.27.31.241/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM2-3,,,検証管理クラスタ(CL_DC_P61_MG1)、ESG01a(勘定系01)※検証用
,,,,,,,,,,,,,,,,,,Eth1/04,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2295,12.27.31.241/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM2-4,,,検証管理クラスタ(CL_DC_P61_MG1)、ESG02a(勘定系02)※検証用
,,,,,,,,,,,,,,,,,,Eth1/17,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2295,12.27.31.241/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM2-1,,,開発管理クラスタ(CL_DC_D61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/18,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2295,12.27.31.241/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM2-2,,,開発管理クラスタ(CL_DC_D61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/19,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2295,12.27.31.241/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM2-3,,,検証管理クラスタ(CL_DC_P61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/20,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2295,12.27.31.241/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM2-4,,,検証管理クラスタ(CL_DC_P61_MG1)
